year,region,school,student
2017,서초구,고등학교,31
2017,강남구,유치원,22.6
2017,강남구,초등학교,25.1
2017,강남구,중학교,27.7
2017,강남구,고등학교,31
2017,송파구,유치원,22.4
2017,송파구,초등학교,23.8
2017,송파구,중학교,25.9
2017,송파구,고등학교,29.2
2017,강동구,유치원,21.8
2017,강동구,초등학교,22.4
2017,강동구,중학교,24.3
2017,강동구,고등학교,27.8
2016,전체,유치원,21.1
2016,전체,초등학교,23.4
2016,전체,중학교,26.6
2016,전체,고등학교,29.7
2016,종로구,유치원,20.5
2016,종로구,초등학교,21.2
2016,종로구,중학교,24.5
2016,종로구,고등학교,29.6
2016,중구,유치원,16.8
2016,중구,초등학교,22.4
2016,중구,중학교,19.7
2016,중구,고등학교,27.3
2016,용산구,유치원,22.5
2016,용산구,초등학교,21.6
2016,용산구,중학교,24.1
2016,용산구,고등학교,27.3
2016,성동구,유치원,22.1
2016,성동구,초등학교,21.4
2016,성동구,중학교,24.6
2016,성동구,고등학교,27.1
2016,광진구,유치원,23.5
2016,광진구,초등학교,23.4
2016,광진구,중학교,27.2
2016,광진구,고등학교,32.4
2016,동대문구,유치원,20.8
2016,동대문구,초등학교,23.1
2016,동대문구,중학교,25.5
2016,동대문구,고등학교,29.1
2016,중랑구,유치원,20.8
2016,중랑구,초등학교,22.6
2016,중랑구,중학교,25.8
2016,중랑구,고등학교,27.7
2016,성북구,유치원,21.5
2016,성북구,초등학교,24.3
2016,성북구,중학교,27.4
2016,성북구,고등학교,28.3
2016,강북구,유치원,20.6
2016,강북구,초등학교,23.2
2016,강북구,중학교,28.1
2016,강북구,고등학교,28.9
2016,도봉구,유치원,19.8
2016,도봉구,초등학교,22.8
2016,도봉구,중학교,26.5
2016,도봉구,고등학교,26.8
2016,노원구,유치원,20.4
2016,노원구,초등학교,23.1
2016,노원구,중학교,27.6
2016,노원구,고등학교,30.6
2016,은평구,유치원,19.3
2016,은평구,초등학교,23.8
2016,은평구,중학교,26.8
2016,은평구,고등학교,29.6
2016,서대문구,유치원,21.5
2016,서대문구,초등학교,22.1
2016,서대문구,중학교,24.2
2016,서대문구,고등학교,29.5
2016,마포구,유치원,21.4
2016,마포구,초등학교,23
2016,마포구,중학교,26.9
2016,마포구,고등학교,30.7
2016,양천구,유치원,20.5
2016,양천구,초등학교,24.3
2016,양천구,중학교,28.2
2016,양천구,고등학교,32.7
2016,강서구,유치원,20
2016,강서구,초등학교,23.2
2016,강서구,중학교,26.8
2016,강서구,고등학교,28.5
2016,구로구,유치원,21.6
2016,구로구,초등학교,23.4
2016,구로구,중학교,25.7
2016,구로구,고등학교,29.7
2016,금천구,유치원,18.9
2016,금천구,초등학교,21.8
2016,금천구,중학교,24
2016,금천구,고등학교,28.2
2016,영등포구,유치원,22.3
2016,영등포구,초등학교,21.6
2016,영등포구,중학교,25.8
2016,영등포구,고등학교,28.2
2016,동작구,유치원,20
2016,동작구,초등학교,24.7
2016,동작구,중학교,27.1
2016,동작구,고등학교,29.8
2016,관악구,유치원,21
2016,관악구,초등학교,23
2016,관악구,중학교,26.1
2016,관악구,고등학교,26.4
2016,서초구,유치원,23.2
2016,서초구,초등학교,26.5
2016,서초구,중학교,28.2
2016,서초구,고등학교,32.3
2016,강남구,유치원,22.5
2016,강남구,초등학교,25.3
2016,강남구,중학교,27.7
2016,강남구,고등학교,33.5
2016,송파구,유치원,22.4
2016,송파구,초등학교,23.8
2016,송파구,중학교,27
2016,송파구,고등학교,30.3
2016,강동구,유치원,22.2
2016,강동구,초등학교,23.6
2016,강동구,중학교,25.7
2016,강동구,고등학교,28.9
2015,전체,유치원,21.4
2015,전체,초등학교,24
2015,전체,중학교,28.5
2015,전체,고등학교,30.1
2015,종로구,유치원,21
2015,종로구,초등학교,21.1
2015,종로구,중학교,26.4
2015,종로구,고등학교,30.2
2015,중구,유치원,17.7
2015,중구,초등학교,23.2
2015,중구,중학교,22.4
2015,중구,고등학교,27.5
2015,용산구,유치원,22.2
2015,용산구,초등학교,22.3
2015,용산구,중학교,26.2
2015,용산구,고등학교,27.6
2015,성동구,유치원,23
2015,성동구,초등학교,22.2
2015,성동구,중학교,26.6
2015,성동구,고등학교,27.5
2015,광진구,유치원,23.5
2015,광진구,초등학교,23.8
2015,광진구,중학교,29.2
2015,광진구,고등학교,33.2
2015,동대문구,유치원,20.7
2015,동대문구,초등학교,23.7
2015,동대문구,중학교,27.5
2015,동대문구,고등학교,29.5
2015,중랑구,유치원,21.3
2015,중랑구,초등학교,22.9
2015,중랑구,중학교,27.6
2015,중랑구,고등학교,28.2
2015,성북구,유치원,22.2
2015,성북구,초등학교,24.6
2015,성북구,중학교,29
2015,성북구,고등학교,28.8
2015,강북구,유치원,22.4
2015,강북구,초등학교,24.2
2015,강북구,중학교,30.1
2015,강북구,고등학교,29.2
2015,도봉구,유치원,19.8
2015,도봉구,초등학교,23.2
2015,도봉구,중학교,28.5
2015,도봉구,고등학교,27.9
2015,노원구,유치원,20.2
