학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000008417,성원중학교,중학교,1968-10-02,공립,본교,운영,서울특별시 성동구 성수동2가 333-17,서울특별시 성동구 성덕정9가길 13,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.53945182,127.0513835,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008124,연서중학교,중학교,1971-10-28,공립,본교,운영,서울특별시 은평구 증산동 193-21,서울특별시 은평구 증산서길 125-6,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.587044,126.9092766,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008164,개웅중학교,중학교,1987-02-12,공립,본교,운영,서울특별시 구로구 개봉동 273-15,서울특별시 구로구 개봉로11길 81,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.4875269,126.8510711,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008173,세일중학교,중학교,1968-10-20,공립,본교,운영,서울특별시 금천구 독산동 147-2,서울특별시 금천구 시흥대로147길 34,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.47459441,126.8953689,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008212,온곡중학교,중학교,1991-05-06,공립,본교,운영,서울특별시 노원구 상계동 687,서울특별시 노원구 노원로 492,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.66058142,127.0643327,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008379,상현중학교,중학교,1968-10-02,공립,본교,운영,서울특별시 동작구 상도동 111-52,서울특별시 동작구 사당로2길 2-19,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-07-09,37.49390836,126.9603433,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008197,신도봉중학교,중학교,1968-10-01,공립,본교,운영,서울특별시 도봉구 쌍문동 94-1,서울특별시 도봉구 도봉로115길 16,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.64959473,127.033202,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008198,효문중학교,중학교,2006-03-01,공립,본교,운영,서울특별시 도봉구 쌍문동 468,서울특별시 도봉구 우이천로 432,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.65269871,127.0184005,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008241,덕수중학교,중학교,1910-04-13,공립,본교,운영,서울특별시 중구 인현동2가 3,서울특별시 중구 마른내로9길 10,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.56557957,126.9969973,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008226,염광중학교,중학교,1966-10-02,사립,본교,운영,서울특별시 노원구 월계동 820,서울특별시 노원구 월계로45가길 9,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.630217,127.0492646,2024-09-20,B555223,재단법인한국지방교육행정연구재단
